s_tp,s_fp,s_tn,s_fn,a_tp,a_fp,a_tn,a_fn,zona
129,10,10,1,128,2,18,2,casa_sopocachi
133,13,4,0,128,0,17,5,casa_sopocachi
123,7,20,0,121,0,27,2,casa_sopocachi
60,23,67,0,60,3,87,0,casa_sopocachi
120,8,22,0,120,1,29,0,casa_sopocachi
138,5,7,0,138,0,12,0,casa_sopocachi
144,3,3,0,144,0,6,0,casa_sopocachi
139,9,2,0,138,0,11,1,casa_sopocachi
127,11,12,0,126,0,23,1,casa_sopocachi
118,25,7,0,118,3,29,0,casa_sopocachi
132,10,8,0,129,0,18,3,casa_sopocachi
106,13,31,0,106,2,42,0,casa_sopocachi
136,12,2,0,135,0,14,1,casa_sopocachi
140,6,4,0,140,0,10,0,casa_sopocachi
73,9,68,0,71,1,76,2,casa_sopocachi
80,12,58,0,78,0,70,2,casa_sopocachi
138,12,0,0,132,0,12,6,casa_sopocachi
61,19,70,0,61,4,85,0,casa_sopocachi
139,5,6,0,139,1,10,0,casa_sopocachi
110,7,33,0,110,2,38,0,casa_sopocachi
133,17,0,0,130,3,14,3,casa_sopocachi
66,15,69,0,65,0,84,1,casa_sopocachi
142,3,5,0,142,1,7,0,casa_sopocachi
103,24,23,0,100,6,41,3,casa_sopocachi
138,7,5,0,138,1,11,0,casa_sopocachi
150,0,0,0,150,0,0,0,casa_sopocachi
142,2,6,0,142,0,8,0,casa_sopocachi
140,6,4,0,140,1,9,0,casa_sopocachi
107,23,20,0,106,0,43,1,casa_sopocachi
143,3,4,0,143,0,7,0,casa_sopocachi
111,4,35,0,110,0,39,1,casa_sopocachi
137,9,4,0,136,1,12,1,casa_sopocachi
150,0,0,0,150,0,0,0,casa_sopocachi
150,0,0,0,150,0,0,0,casa_sopocachi
139,11,0,0,139,0,11,0,casa_sopocachi
143,4,3,0,143,0,7,0,casa_sopocachi
102,27,21,0,102,3,45,0,casa_sopocachi
145,1,4,0,143,0,5,2,casa_sopocachi
147,3,0,0,141,1,2,6,casa_sopocachi
